id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
31,1,-2.7,-0.009,-3905.6253995895386,1289.3430971678406,-301507.4683819957,1829.5332589345296,704801.0217582402,3020.7505167151667,6006231634.270986,1066.619803535327,1045000,0,2777183753173211,31115233121096.332,0,0,6005329993.694044,6005328358.106597,6005331620.248902,6007136794.144637,6007135145.425457,6007138416.473208
32,1,-2.69,-0.009,-8170.866276741028,1403.3571360101523,-340466.15855825646,1994.2852925175857,702512.526804758,2946.092991662484,6006232926.635866,1040.2709428228966,1045000,0,2669408031309538,28905724820137.78,0,0,6005347076.677675,6005345415.64796,6005348741.7771845,6007126011.062675,6007124329.312492,6007127698.511353
33,1,-2.68,-0.009,-1584.6119804382324,1337.117764506337,-350474.3689494716,1898.7435082857746,690928.2804223106,3044.885056048356,6006248832.717933,1075.2168443785517,1045000,0,2639132019615083,27305124946990.438,0,0,6005360605.71843,6005358912.486968,6005362291.434377,6007138450.627709,6007136769.7682085,6007140116.212242
34,1,-2.67,-0.009,1149.487545967102,1189.3041770832997,-337931.138308907,1687.195554482203,701828.8818898929,2944.1033465617493,6006248955.081089,1039.5685398056105,1045000,0,2545978188037637,25953016213547.984,0,0,6005357858.951328,6005356286.830198,6005359432.805279,6007139061.719561,6007137507.540611,6007140614.350185
35,1,-2.66,-0.009,1754.2849216461182,1275.9692534954477,-346705.3806365188,1811.4880640183726,706353.2740804309,2995.235479818497,6006237421.200989,1057.6002778264126,1045000,0,2583541204253771.5,25648430501425.574,0,0,6005350801.418192,6005349154.714022,6005352429.89194,6007122497.78301,6007120844.455576,6007124134.223604
36,1,-2.65,-0.009,-12983.705681800842,1377.6108678435064,-369256.0698268575,1958.1428215132005,709380.9894479011,2996.197735512355,6006230761.430314,1057.9241374244111,1045000,0,2611105145354413.5,24968969184616.71,0,0,6005360552.032696,6005358850.031632,6005362290.155995,6007112242.743526,6007110485.510317,6007113974.270236
37,1,-2.64,-0.009,-16367.83555984497,1366.8364962409541,-394440.8882698778,1944.0607431708054,702687.0437374866,2903.342484394484,6006232504.918508,1025.1747929237029,1045000,0,2536958803531204,22982387688266.973,0,0,6005372188.146768,6005370488.965476,6005373877.453283,6007106840.105014,6007105152.494967,6007108552.450711
38,1,-2.63,-0.009,-11466.840058326721,1503.958511143229,-416617.281328985,2141.658630659444,707224.3094026004,3011.3672352406074,6006248866.756761,1063.2885099124987,1045000,0,2605943918684994.5,23804604044834.066,0,0,6005397566.063083,6005395724.185819,6005399413.904234,6007109770.118319,6007107894.930324,6007111611.625397
39,1,-2.62,-0.009,-22281.468523979187,1446.0990640985826,-424497.9781811054,2058.1400754636124,695396.1319870075,3037.9393709133733,6006247824.3452425,1072.7392528258822,1045000,0,2435744305730641,20019022322407.656,0,0,6005400691.148066,6005398898.196173,6005402493.493858,6007113642.669782,6007111804.883943,6007115507.740167
40,1,-2.61,-0.009,-1020.7034559249878,1263.4185898456974,-449912.2801973597,1796.2831377674972,694592.4680252086,2937.3916367443635,6006246488.210246,1037.2391287075723,1045000,0,2538218138830883.5,19900268413219.375,0,0,6005401939.532459,6005400208.363955,6005403705.207478,6007091852.351981,6007090132.845932,6007093596.239579
41,1,-2.6,-0.009,-14396.440739631653,1488.5019019369395,-465242.117983566,2121.1386940528046,693793.2604308962,3042.87362722843,6006258379.157762,1074.488133653731,1045000,0,2563090731485612,20480856345165.59,0,0,6005426262.97717,6005424365.170549,6005428165.876668,6007102111.864796,6007100197.426675,6007104024.812403
42,1,-2.59,-0.009,-8678.333758354187,1430.2277297522594,-467539.51066823985,2037.6048765234323,702922.4431325815,3006.7404713911073,6006240479.63315,1061.6815965804583,1045000,0,2491335650448518,19702801498129.742,0,0,6005410346.489034,6005408469.3012085,6005412227.486281,6007077581.406736,6007075663.264624,6007079486.629312
43,1,-2.58,-0.009,-3001.0142211914062,1412.4690940530948,-488429.7025780155,2013.2320879577856,704164.4352697807,2974.9279061149264,6006233789.112744,1050.443072718861,1045000,0,2469709633511150.5,17428077896887.139,0,0,6005412311.130703,6005410410.041441,6005414221.986857,6007057652.6699505,6007055751.158294,6007059534.881108
44,1,-2.57,-0.009,-7064.43768119812,1514.9870302912773,-514907.7554621671,2163.0620821283346,706366.3401239617,2998.8072537389653,6006234708.591402,1058.8620079023094,1045000,0,2464022258165127,16490714797540.162,0,0,6005429379.99582,6005427386.702002,6005431339.918169,6007045361.235623,6007043351.581815,6007047393.298335
45,1,-2.56,-0.009,11292.796759605408,1477.5913825974294,-547318.2431116807,2110.8292036960484,706778.1729410714,2992.462400911079,6006249762.437347,1056.6157201638666,1045000,0,2491922368758204,17456917036702.416,0,0,6005455716.971435,6005453674.331965,6005457811.260066,6007035584.124609,6007033550.4037695,6007037618.263455
46,1,-2.55,-0.009,-335.39160442352295,1471.5949857363826,-549022.7325956835,2102.1395590709826,701238.6206305816,2985.4221334981044,6006251814.348406,1054.1609388963993,1045000,0,2461670795756652.5,15841097304967.846,0,0,6005460806.112374,6005458782.780086,6005462788.528406,6007043065.491249,6007041060.0481415,6007045081.041554
